Major,MaleSalary,FemaleSalary
" Biological agricultural and environmental science  ",78031,60962
" Business ",76690,56685
" Communications ",61849,51777
" Computers mathematics and statistics  ",84621,71196
" Education ",58289,49361
" Engineering ",95911,80996
" Liberal arts and history ",61955,50902
" Literature and languages ",67149,54584
" Multidisciplinary studies ",67278,51250
" Other (e.g. criminal justice social work)  ",61603,46328
" Physical and related science",89558,61907
" Psychology ",69590,50955
" Science- and engineering-related ",77456,66065
" Social sciences ",80920,57119
" Visual and performing arts ",54702,47002
